City,Country,Latitude,Longitude,Max. Temp.(C),Humidity(%),Cloudiness(%),Windspeed(mph),Date
New Norfolk,AU,-42.78,147.06,11.11,66,75,3.6,1563841411
Ushuaia,AR,-54.81,-68.31,1.0,80,75,3.6,1563841321
Gavle,SE,60.67,17.14,15.56,84,55,0.89,1563841413
Ahuimanu,US,21.44,-157.84,29.0,83,75,3.1,1563841414
Punta Arenas,CL,-53.16,-70.91,2.0,70,0,9.8,1563841416
Busselton,AU,-33.64,115.35,13.89,74,38,5.36,1563841417
Namibe,AO,-15.19,12.15,17.82,85,78,6.99,1563841418
Denpasar,ID,-8.65,115.22,22.62,79,74,3.4,1563841419
Castro,CL,-42.48,-73.76,2.0,100,20,1.0,1563841420
Puerto Ayora,EC,-0.74,-90.35,24.0,69,40,8.2,1563841422
Ponta do Sol,CV,17.2,-25.09,25.0,78,75,5.7,1563841423
Leshukonskoye,RU,64.9,45.76,9.52,96,100,4.66,1563841424
Tasiilaq,GL,65.61,-37.64,6.0,100,0,0.92,1563841425
Rairangpur,IN,22.27,86.18,26.32,77,99,4.66,1563841426
Bluff,NZ,-46.6,168.33,7.78,96,47,1.34,1563841427
Avarua,CK,-21.21,-159.78,25.0,83,86,6.2,1563841429
Rocha,UY,-34.48,-54.34,9.52,80,89,4.62,1563841286
Nanortalik,GL,60.14,-45.24,4.12,96,99,1.94,1563841239
Batagay-Alyta,RU,67.8,130.41,13.42,44,15,1.62,1563841432
Lebu,CL,-37.62,-73.65,9.92,69,0,10.12,1563841433
Albany,AU,-35.02,117.88,12.0,93,75,4.1,1563841434
Vagay,RU,57.94,69.02,13.12,88,31,1.9,1563841276
Arraial do Cabo,BR,-22.97,-42.02,20.0,94,40,4.6,1563841240
Atuona,PF,-9.8,-139.03,26.42,75,2,6.05,1563841403
Half Moon Bay,US,37.46,-122.43,31.11,93,90,2.6,1563841439
Bredasdorp,ZA,-34.53,20.04,16.67,66,0,1.5,1563841440
Tahe,CN,52.34,124.71,13.02,90,98,3.09,1563841441
Mahebourg,MU,-20.41,57.7,21.0,73,75,5.1,1563841442
Huarmey,PE,-10.07,-78.15,16.92,88,11,7.73,1563841443
Qaanaaq,GL,77.48,-69.36,4.22,85,100,6.89,1563841445
Birjand,IR,32.86,59.22,22.0,16,0,4.1,1563841446
Guerrero Negro,MX,27.97,-114.04,21.12,79,71,5.07,1563841312
Cherskiy,RU,68.75,161.3,3.02,93,100,4.76,1563841448
Zella-Mehlis,DE,50.66,10.67,18.89,72,0,2.6,1563841449
Vaini,TO,-21.2,-175.2,24.0,69,20,4.1,1563841450
Klaksvik,FO,62.23,-6.59,11.0,100,54,2.6,1563841452
Dwarka,IN,28.58,77.04,32.22,84,40,1.53,1563841453
Kampot,KH,10.62,104.18,27.0,88,40,1.0,1563841454
Cravo Norte,CO,6.3,-70.2,24.62,91,84,1.93,1563841455
Meulaboh,ID,4.14,96.13,27.02,76,77,4.03,1563841456
Cairns,AU,-16.92,145.77,22.78,78,90,7.7,1563841457
Nikolskoye,RU,59.7,30.79,12.22,81,0,1.0,1563841413
Port Elizabeth,ZA,-33.92,25.57,9.0,100,0,1.5,1563841322
Vila Franca do Campo,PT,37.72,-25.43,21.0,100,75,4.1,1563841304
Nuuk,GL,64.17,-51.74,8.0,87,75,2.6,1563841462
Tevaitoa,PF,-16.78,-151.5,26.02,80,73,8.39,1563841463
Ures,MX,30.73,-112.95,34.44,49,81,1.79,1563841464
Barrow,US,39.51,-90.4,26.11,60,1,3.1,1563841465
Kodiak,US,39.95,-94.76,26.11,44,1,7.2,1563841466
Adrar,DZ,27.87,-0.29,37.0,17,0,5.1,1563841468
Victoria,SC,-4.62,55.45,26.0,78,20,6.7,1563841469
Chokurdakh,RU,70.62,147.9,6.02,57,53,2.77,1563841470
Carnarvon,AU,-24.87,113.63,12.0,87,0,4.6,1563841471
Alto Araguaia,BR,-17.32,-53.22,20.42,54,99,1.88,1563841472
Lokot,RU,52.57,34.57,15.02,98,91,2.02,1563841474
Eureka,US,40.8,-124.16,19.0,77,1,3.6,1563841400
Sao Filipe,CV,14.9,-24.5,24.32,86,35,7.0,1563841476
Wagar,SD,16.15,36.2,28.92,60,79,9.76,1563841477
Udachnyy,RU,66.42,112.4,22.0,33,0,2.0,1563841478
Solnechnyy,RU,50.72,136.64,14.62,98,100,1.39,1563841479
Cape Town,ZA,-33.93,18.42,14.0,82,90,12.3,1563841432
Butaritari,KI,3.07,172.79,29.52,68,100,3.3,1563841357
Harper,LR,4.38,-7.71,24.52,85,100,5.82,1563841483
Faanui,PF,-16.48,-151.75,26.02,81,36,8.56,1563841484
Vestmannaeyjar,IS,63.44,-20.27,12.12,90,100,3.48,1563841485
Kedrovyy,RU,56.17,91.82,14.0,87,85,3.0,1563841486
Gushikawa,JP,26.35,127.87,31.0,66,1,2.1,1563841488
Thompson,CA,55.74,-97.86,29.0,30,75,3.6,1563841242
Ravar,IR,31.27,56.81,20.22,23,10,1.6,1563841490
Sokoto,NG,13.06,5.24,26.52,72,69,5.15,1563841491
Honningsvag,NO,70.98,25.97,11.02,91,28,0.25,1563841492
Bambous Virieux,MU,-20.34,57.76,21.0,73,75,5.1,1563841493
Santa Isabel do Rio Negro,BR,-0.41,-65.02,23.82,94,92,1.11,1563841448
Vostok,RU,46.45,135.83,19.22,90,79,1.21,1563841495
Hue,VN,16.47,107.58,30.0,58,40,1.0,1563841497
Plettenberg Bay,ZA,-34.05,23.37,14.82,39,0,3.2,1563841498
Bonavista,CA,48.65,-53.11,12.78,81,19,1.79,1563841499
Hobart,AU,-42.88,147.33,11.11,70,75,3.6,1563841210
Padang,ID,-0.92,100.36,27.72,68,100,1.45,1563841501
Torbay,CA,47.66,-52.73,18.33,82,75,3.6,1563841316
Upernavik,GL,72.79,-56.15,6.42,82,0,4.75,1563841504
Alofi,NU,-19.06,-169.92,25.0,53,40,4.6,1563841505
Constitucion,CL,-35.33,-72.42,6.72,81,0,3.03,1563841446
Ketchikan,US,55.34,-131.65,24.0,56,40,7.2,1563841507
Port Alfred,ZA,-33.59,26.89,13.89,89,0,0.89,1563841243
Saint-Philippe,RE,-21.36,55.77,17.0,88,26,5.1,1563841509
Port-Gentil,GA,-0.72,8.78,24.0,88,20,2.6,1563841511
Arroyo,US,41.39,-78.88,19.44,77,1,1.5,1563841512
Thunder Bay,CA,48.41,-89.26,26.0,39,40,4.6,1563841513
Verkhniy Baskunchak,RU,48.23,46.72,21.72,53,0,2.17,1563841514
Severo-Kurilsk,RU,50.68,156.12,7.82,95,100,6.11,1563841516
Mandal,NO,58.03,7.45,15.56,91,77,3.13,1563841517
Coihaique,CL,-45.58,-72.07,5.0,65,40,1.5,1563841518
Bilibino,RU,68.06,166.44,2.12,87,97,2.64,1563841519
Tessalit,ML,20.2,1.01,32.42,34,83,2.15,1563841520
Kapaa,US,22.08,-159.32,27.0,74,90,5.7,1563841522
Fare,PF,-16.7,-151.02,26.02,80,73,8.39,1563841523
Muravlenko,RU,63.79,74.5,17.72,70,1,5.32,1563841524
Tuktoyaktuk,CA,69.44,-133.03,14.0,87,90,3.1,1563841525
Zaraza,VE,9.35,-65.33,23.42,92,16,2.71,1563841527
Talnakh,RU,69.49,88.39,13.0,93,75,7.0,1563841528
Rikitea,PF,-23.12,-134.97,20.52,72,0,8.93,1563841529
Ribeira Grande,PT,38.52,-28.7,22.0,78,75,4.6,1563841530
Mount Gambier,AU,-37.83,140.78,9.0,87,75,3.6,1563841531
Salalah,OM,17.01,54.1,26.0,94,90,1.0,1563841318
Sola,VU,-13.88,167.55,26.0,78,75,3.1,1563841534
Vanderhoof,CA,54.02,-124.02,24.72,43,3,3.42,1563841535
Pisco,PE,-13.71,-76.2,17.0,82,90,3.1,1563841536
Colac,AU,-38.34,143.59,11.11,85,91,5.81,1563841538
Luderitz,NA,-26.65,15.16,12.72,89,0,3.69,1563841369
Hermanus,ZA,-34.42,19.24,16.67,64,2,1.79,1563841540
Reconquista,AR,-29.14,-59.64,12.92,69,100,7.05,1563841323
Palauig,PH,15.44,119.9,28.52,70,58,0.96,1563841542
Kalmunai,LK,7.42,81.82,24.52,77,99,1.31,1563841543
Ust-Maya,RU,60.42,134.54,16.72,42,21,2.76,1563841544
Vanimo,PG,-2.67,141.3,28.52,71,100,3.86,1563841546
Changli,CN,30.54,105.42,24.02,80,83,1.32,1563841547
Jamestown,SH,-15.94,-5.72,20.82,75,0,9.72,1563841548
San Policarpo,PH,12.18,125.51,27.52,76,61,2.47,1563841549
Kavieng,PG,-2.57,150.8,27.62,82,48,5.97,1563841550
Kenai,US,60.55,-151.26,24.44,53,1,3.6,1563841551
Saskylakh,RU,71.97,114.09,22.92,39,37,5.16,1563841552
Dikson,RU,73.51,80.55,1.62,93,100,4.33,1563841554
Khatanga,RU,71.98,102.47,16.32,61,100,5.83,1563841555
Bethel,US,60.79,-161.76,21.0,64,90,2.6,1563841400
East London,ZA,-33.02,27.91,14.32,41,0,0.59,1563841557
Ostrovnoy,RU,68.05,39.51,8.82,62,14,3.14,1563841418
Pangnirtung,CA,66.15,-65.72,9.62,62,10,2.02,1563841559
Sao Miguel do Araguaia,BR,-13.28,-50.16,23.22,44,83,1.56,1563841293
San Rafael del Sur,NI,11.85,-86.44,30.0,62,75,4.1,1563841562
Mazyr,BY,52.05,29.27,14.62,96,0,4.19,1563841563
Hilo,US,19.71,-155.08,27.78,83,90,2.6,1563841290
Loreto,MX,22.27,-101.99,19.12,59,100,6.72,1563841565
Seymchan,RU,62.93,152.39,5.12,68,88,6.46,1563841566
Kutum,SD,14.2,24.66,21.72,73,50,8.54,1563841559
Susangerd,IR,31.56,48.19,34.0,28,40,3.1,1563841568
Rylsk,RU,51.57,34.68,15.52,97,67,2.64,1563841570
Inhambane,MZ,-23.87,35.38,12.22,82,0,2.91,1563841571
Mangrol,IN,25.33,76.51,32.0,62,20,1.0,1563841572
Uige,AO,-7.61,15.06,15.52,86,0,0.32,1563841573
Maningrida,AU,-12.05,134.23,22.62,47,95,4.37,1563841574
Tilichiki,RU,60.47,166.1,13.82,58,98,1.33,1563841575
Vargashi,RU,55.36,65.85,14.42,93,0,1.87,1563841577
Lavrentiya,RU,65.58,-170.99,9.12,80,100,6.62,1563841578
Imbituba,BR,-28.24,-48.67,19.0,93,0,4.6,1563841580
Zhigalovo,RU,54.81,105.15,19.32,60,100,0.61,1563841581
Dunedin,NZ,-45.87,170.5,10.56,96,99,4.15,1563841582
Suraabad,AZ,40.82,49.47,26.0,74,0,13.9,1563841584
Cururupu,BR,-1.82,-44.87,22.52,92,41,1.1,1563841585
Havoysund,NO,71.0,24.66,13.0,93,20,4.1,1563841586
Gobabis,NA,-22.45,18.97,11.12,12,0,5.89,1563841587
Cabo San Lucas,MX,22.89,-109.91,31.11,74,75,5.1,1563841354
Najran,SA,17.54,44.22,28.0,23,0,1.09,1563841589
Bathsheba,BB,13.22,-59.52,27.0,83,40,7.7,1563841590
Samarai,PG,-10.62,150.67,24.02,91,91,3.98,1563841592
Yellowknife,CA,62.45,-114.38,27.0,32,20,2.6,1563841593
Hami,CN,42.84,93.51,25.42,27,30,3.03,1563841594
Andijan,UZ,40.76,72.37,26.0,44,0,4.0,1563841595
Mar del Plata,AR,-46.43,-67.52,3.52,63,36,5.2,1563841596
Passo de Camaragibe,BR,-9.24,-35.49,24.0,78,40,4.1,1563841598
Provideniya,RU,64.42,-173.23,10.0,81,90,5.0,1563841599
Durusu,TR,37.53,40.83,27.22,34,0,4.1,1563841600
Kununurra,AU,-15.77,128.74,21.0,64,0,1.0,1563841345
Nokaneng,BW,-19.66,22.19,11.42,32,0,1.68,1563841532
Altay,CN,47.83,88.13,11.82,79,84,2.84,1563841603
Pop,UZ,40.87,71.1,25.0,50,0,2.1,1563841605
Ilulissat,GL,69.22,-51.1,11.0,62,5,0.5,1563841606
Palmer,US,61.6,-149.11,26.11,50,40,2.6,1563841607
Xinyu,CN,27.8,114.93,27.02,87,9,1.31,1563841608
Havre-Saint-Pierre,CA,50.23,-63.6,14.0,76,20,5.1,1563841609
The Valley,AI,18.22,-63.06,29.0,74,20,5.1,1563841611
Paracatu,BR,-17.22,-46.87,18.12,66,100,1.73,1563841612
Leningradskiy,RU,69.38,178.42,3.82,89,84,3.17,1563841613
Belgrade,US,45.77,-111.18,27.78,54,75,6.7,1563841614
Raudeberg,NO,61.99,5.14,14.44,93,90,6.2,1563841615
San Cristobal,EC,-1.02,-79.44,26.62,63,25,0.56,1563841616
Yining,CN,29.04,114.56,28.42,77,55,1.25,1563841617
Lethem,GY,3.38,-59.8,25.52,79,23,4.18,1563841619
Cap Malheureux,MU,-19.98,57.61,21.0,73,75,5.1,1563841620
Timizart,DZ,36.8,4.25,26.02,68,5,6.77,1563841621
Nurota,UZ,40.56,65.69,28.0,18,0,7.2,1563841622
Pueblo,US,38.25,-104.61,27.0,51,40,4.6,1563841623
Huilong,CN,31.15,106.5,22.12,99,100,1.22,1563841625
Lazarev,RU,52.23,141.51,13.22,98,100,8.75,1563841626
Georgetown,SH,-7.93,-14.42,24.0,60,20,10.3,1563841627
Keti Bandar,PK,24.14,67.45,28.72,87,9,5.88,1563841343
Chuy,UY,-33.69,-53.46,12.72,81,100,6.94,1563841629
Aklavik,CA,68.22,-135.01,22.0,53,40,3.6,1563841630
Lexington,US,38.05,-84.5,22.22,88,75,5.9,1563841502
Gualaquiza,EC,-3.4,-78.58,10.52,97,69,1.81,1563841633
Progreso,MX,20.25,-99.19,21.92,57,37,6.92,1563841634
Souillac,MU,-20.52,57.52,21.0,73,75,5.1,1563841635
Saint-Louis,SN,16.03,-16.5,26.0,83,40,2.1,1563841636
Paka,MY,4.64,103.44,26.0,88,75,1.5,1563841637
Ancud,CL,-41.87,-73.83,2.0,100,20,1.0,1563841639
Kysyl-Syr,RU,63.9,122.77,18.82,42,0,1.75,1563841640
Itaporanga,BR,-7.3,-38.15,20.92,79,91,4.09,1563841645
Oriximina,BR,-1.77,-55.87,27.92,66,0,3.09,1563841646
Hyeres,FR,43.12,6.14,25.56,83,0,3.28,1563841648
Hamilton,BM,32.3,-64.78,29.0,79,75,4.6,1563841649
Broome,AU,-17.97,122.23,20.0,18,0,4.6,1563841650
Alta Floresta,BR,-9.87,-56.08,24.0,73,0,1.06,1563841651
Norman Wells,CA,65.28,-126.83,24.0,50,75,3.1,1563841652
Kahului,US,20.89,-156.47,30.0,51,75,6.2,1563841488
Vaitape,PF,-16.52,-151.75,26.02,81,36,8.56,1563841655
Cumra,TR,37.57,32.77,16.11,63,0,4.1,1563841656
Itauna,BR,-22.93,-42.48,23.0,94,40,4.6,1563841657
Porbandar,IN,21.64,69.61,28.42,86,31,5.69,1563841362
Aurillac,FR,44.93,2.44,24.0,68,0,3.1,1563841659
Alice Springs,AU,-23.7,133.88,12.0,40,0,0.5,1563841362
Severo-Yeniseyskiy,RU,60.37,93.04,14.12,85,28,0.83,1563841662
Svetlogorsk,RU,53.14,59.15,16.0,77,75,4.0,1563841663
Kaitangata,NZ,-46.28,169.85,10.56,83,97,0.45,1563841665
Calarasi,MD,47.25,28.31,21.0,82,0,1.0,1563841666
Mattawa,CA,46.32,-78.7,21.0,49,75,7.2,1563841667
Taveta,KE,-3.4,37.67,12.0,93,5,3.61,1563841668
