City,Country,Latitude,Longitude,Max. Temp.(C),Humidity(%),Cloudiness(%),Windspeed(mph),Date
Karaidel,RU,55.83,56.91,10.73,75,4,1.81,1559508950
Saskylakh,RU,71.97,114.09,1.93,90,99,5.52,1559508951
Sitka,US,37.17,-99.65,27.78,50,86,4.47,1559508873
Macas,EC,-2.3,-78.12,25.0,73,20,4.1,1559508954
Ushuaia,AR,-54.81,-68.31,4.0,80,75,2.2,1559508955
Bluff,NZ,-46.6,168.33,10.83,81,100,8.6,1559508956
Hermanus,ZA,-34.42,19.24,15.56,86,29,3.13,1559508957
Lompoc,US,34.64,-120.46,20.0,87,90,2.6,1559508958
Hilo,US,19.71,-155.08,23.89,88,90,2.6,1559508960
San Patricio,MX,19.22,-104.7,30.0,70,20,7.7,1559508962
Vanimo,PG,-2.67,141.3,28.53,78,100,6.47,1559508967
Mujiayingzi,CN,42.12,118.78,13.03,82,100,2.18,1559508968
Unidad,PH,8.54,126.23,23.33,96,100,0.24,1559508969
Bethel,US,60.79,-161.76,13.0,66,90,4.1,1559508971
Roald,NO,62.58,6.12,13.0,87,75,4.1,1559508972
Rikitea,PF,-23.12,-134.97,23.43,85,100,8.68,1559508973
Comodoro Rivadavia,AR,-45.87,-67.48,15.0,33,0,8.2,1559508974
Puerto Ayora,EC,-0.74,-90.35,30.0,58,20,8.7,1559508847
Upernavik,GL,72.79,-56.15,0.43,80,2,5.33,1559508976
Atuona,PF,-9.8,-139.03,27.43,73,36,6.87,1559508978
Ilulissat,GL,69.22,-51.1,3.0,69,24,2.1,1559508979
Hobart,AU,-42.88,147.33,8.0,75,75,6.7,1559508980
Arkadelphia,US,34.12,-93.05,33.0,41,1,1.5,1559508981
Port Alfred,ZA,-33.59,26.89,16.67,91,50,2.45,1559508844
Punta Arenas,CL,-53.16,-70.91,5.0,93,75,3.6,1559508984
Bathsheba,BB,13.22,-59.52,30.0,70,40,7.7,1559508985
Hobyo,SO,5.35,48.53,27.53,73,81,8.45,1559508986
Kununurra,AU,-15.77,128.74,21.0,22,76,5.7,1559508987
Birjand,IR,32.86,59.22,19.0,42,0,4.1,1559508988
Bredasdorp,ZA,-34.53,20.04,15.56,93,40,1.5,1559508989
Butaritari,KI,3.07,172.79,28.63,78,60,5.89,1559508990
Kapaa,US,22.08,-159.32,28.0,65,40,6.2,1559508982
Ahuimanu,US,21.44,-157.84,31.11,65,75,4.6,1559508993
Vaini,TO,-21.2,-175.2,24.0,83,75,3.1,1559508994
Avarua,CK,-21.21,-159.78,27.0,74,4,4.1,1559508941
Clyde River,CA,70.47,-68.59,2.0,69,1,5.1,1559508996
Devarkonda,IN,16.69,78.91,34.63,33,100,3.94,1559508997
Labuhan,ID,-2.54,115.51,23.33,93,98,0.55,1559508998
Hammerfest,NO,70.66,23.68,4.0,74,75,7.7,1559509000
Provideniya,RU,64.42,-173.23,4.0,86,75,2.0,1559509001
Port Macquarie,AU,-31.43,152.91,12.0,93,75,1.0,1559509002
Sarankhola,BD,22.31,89.79,29.33,76,100,2.85,1559509003
